Respondent,Being a Rugby Union fan helps define who,It's important to me that people know I a,Respect between players is a very importa,Rugby Union is a very entertaining sport,It's important to me that the sport I fol,Playing against other international sides,I always watch Super Rugby either live or,I only watch International Rugby Union ma,Rugby Union is more enjoyable to watch in,I prefer to watch Rugby Union in a loud,"When my favourite Rugby Team is winning,",Winning is the most important part of su,It's important to me that Rugby Union ha,Having tough Rugby Union players is an i,Rugby Union is the most important sport,Segment
1,2,3,1,1,2,2,3,3,3,1,1,1,3,3,2,The Rugby Squad
2,3,3,2,3,1,1,4,3,1,1,3,3,2,2,5,Code Hoppers
3,4,5,2,2,2,2,3,3,2,4,2,4,4,4,4,Family Ties
4,5,3,2,2,3,2,3,2,4,5,2,3,4,4,4,Couch Warmers
5,3,3,2,4,3,3,3,2,2,4,4,5,2,3,3,Code Hoppers
6,5,5,2,2,3,2,2,2,4,4,4,3,3,3,4,Couch Warmers
7,3,2,1,1,2,5,1,5,3,3,5,2,2,3,1,Rugby Disciples
8,3,3,3,5,5,4,3,3,3,4,2,3,3,5,5,Code Hoppers
9,5,5,2,2,3,1,5,2,1,1,2,2,2,3,5,Code Hoppers
10,3,3,2,2,3,2,2,3,3,4,2,2,1,1,3,The Rugby Squad
11,5,5,1,2,2,2,3,2,3,2,1,4,1,2,3,Code Hoppers
12,5,5,3,3,3,1,1,3,5,2,2,1,1,2,5,Code Hoppers
13,4,5,1,1,2,1,3,2,3,3,4,5,1,2,5,Rugby Disciples
14,4,4,5,3,2,4,5,2,4,4,4,4,4,4,4,Couch Warmers
15,4,4,1,2,2,1,4,1,3,3,2,2,3,3,4,Family Ties
16,4,4,4,5,5,5,4,2,4,4,4,4,4,4,4,Couch Warmers
17,5,5,2,1,4,3,5,2,4,4,2,2,3,3,4,Couch Warmers
18,3,3,1,1,1,1,2,3,1,1,1,2,3,1,3,The Rugby Squad
19,5,5,3,3,3,2,5,3,3,4,3,3,5,5,5,Family Ties
20,4,2,1,1,3,1,2,3,1,4,1,3,4,3,4,Family Ties
21,5,5,1,3,1,1,4,1,3,3,5,5,4,4,5,Family Ties
22,5,5,1,1,1,1,2,2,1,1,3,5,1,1,5,Rugby Disciples
23,5,5,5,1,3,3,2,2,5,4,4,4,3,3,3,Couch Warmers
24,5,5,1,1,5,2,4,5,5,4,4,4,3,3,3,Couch Warmers
25,2,2,1,1,1,1,2,2,3,2,2,3,1,1,1,The Rugby Squad
26,5,5,1,1,1,1,5,1,1,1,5,5,1,5,5,Family Ties
27,3,3,2,2,3,3,2,4,3,3,5,5,3,3,4,Rugby Disciples
28,5,5,4,4,1,1,5,1,2,1,2,1,4,3,5,Code Hoppers
29,5,5,2,2,1,1,3,2,4,3,5,4,1,1,5,Code Hoppers
30,5,5,1,2,1,1,1,5,5,5,5,5,2,2,1,Rugby Disciples
31,3,4,3,1,4,1,3,4,3,3,2,2,1,1,4,The Rugby Squad
32,5,4,3,3,3,2,4,3,2,3,3,4,2,2,5,Code Hoppers
33,5,5,2,2,3,3,2,4,2,3,2,4,2,2,3,Social Entourage
34,5,3,1,1,1,2,1,5,3,3,5,5,3,3,2,Rugby Disciples
35,3,3,1,2,2,2,4,2,2,4,3,3,2,3,5,The Rugby Squad
36,5,5,1,1,3,3,3,3,3,3,3,3,3,2,2,Social Entourage
37,3,3,2,2,2,2,2,4,2,3,3,3,2,2,3,The Rugby Squad
38,5,5,3,3,5,3,2,4,2,3,4,4,4,4,2,Social Entourage
39,1,1,3,3,1,5,1,5,3,3,3,3,5,1,5,The Rugby Squad
40,3,3,2,1,1,1,1,2,2,2,1,2,2,2,3,The Rugby Squad
41,5,4,1,1,1,1,1,4,3,4,3,2,1,1,3,Rugby Disciples
42,3,1,1,1,1,1,2,3,3,3,5,5,3,1,1,Rugby Disciples
43,5,5,4,2,2,1,5,1,4,5,2,4,2,2,5,Couch Warmers
44,5,4,1,1,3,1,3,4,3,3,2,3,4,2,5,Family Ties
45,5,5,2,4,2,3,3,3,3,2,3,4,4,3,3,Code Hoppers
46,1,1,1,1,5,1,1,4,3,3,5,4,1,1,1,The Rugby Squad
47,5,5,2,2,2,1,4,2,1,2,1,3,2,3,4,Code Hoppers
48,4,4,1,2,3,3,3,3,2,3,2,3,4,2,5,Social Entourage
49,5,5,1,1,5,5,2,5,3,4,4,4,4,3,3,Social Entourage
50,5,5,2,1,3,1,5,1,5,4,4,3,2,2,3,Couch Warmers
51,3,4,5,3,2,2,4,3,4,2,1,2,2,3,4,Code Hoppers
52,1,2,1,1,1,1,1,4,1,2,2,4,2,2,1,The Rugby Squad
53,3,3,1,3,1,2,3,3,4,2,1,2,2,2,4,The Rugby Squad
54,5,5,2,5,2,1,1,4,3,3,3,4,2,2,5,Code Hoppers
55,5,5,3,2,2,1,2,3,4,3,2,4,3,3,5,Couch Warmers
56,4,4,2,3,2,1,2,3,4,3,2,3,2,1,4,Code Hoppers
57,4,3,2,2,2,1,1,2,3,3,4,3,3,2,3,Couch Warmers
58,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,The Rugby Squad
59,5,5,1,2,5,4,4,4,5,5,5,5,4,5,5,Couch Warmers
60,4,4,2,2,1,1,4,2,2,3,1,4,2,3,5,Family Ties
61,3,4,1,1,3,3,1,3,2,2,1,3,4,3,5,The Rugby Squad
62,5,5,2,2,5,2,2,3,4,5,2,1,1,1,5,Couch Warmers
63,3,2,5,2,3,3,2,3,5,5,4,4,3,2,3,Couch Warmers
64,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Couch Warmers
65,1,5,1,3,1,1,1,1,3,5,1,5,5,5,5,Family Ties
66,5,5,1,2,2,3,2,2,5,5,3,4,3,2,3,Couch Warmers
67,5,5,3,2,1,2,3,3,4,4,4,3,3,3,4,Couch Warmers
68,5,5,2,2,3,2,3,2,2,2,2,4,2,3,4,Code Hoppers
69,3,4,2,2,2,2,4,3,2,3,3,3,2,2,3,The Rugby Squad
70,5,5,5,3,3,2,1,1,5,5,5,5,5,5,5,Couch Warmers
71,5,3,2,3,5,3,3,5,3,3,4,4,3,3,3,Social Entourage
72,3,3,2,2,2,2,2,3,2,3,2,2,3,3,4,The Rugby Squad
73,3,5,5,2,3,4,5,3,2,4,2,5,3,3,4,Couch Warmers
74,5,5,1,2,3,2,4,3,4,4,4,5,2,2,4,Couch Warmers
75,5,5,1,2,3,3,5,4,2,2,3,5,2,2,3,Social Entourage
76,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,Couch Warmers
77,4,4,2,2,3,2,4,2,3,4,3,4,2,2,4,Couch Warmers
78,3,5,2,2,2,1,2,2,4,4,4,4,1,2,5,Couch Warmers
79,5,4,1,2,2,1,4,3,2,3,3,5,2,3,5,Family Ties
80,5,5,1,1,3,1,3,5,5,5,5,5,3,3,5,Couch Warmers
81,5,4,3,3,5,3,2,3,2,2,3,4,5,5,5,Social Entourage
82,1,1,1,2,2,1,2,2,3,2,2,1,3,2,3,The Rugby Squad
83,4,4,2,1,3,2,3,2,2,3,2,4,4,3,2,Family Ties
84,5,5,1,1,2,2,4,5,5,4,1,5,3,2,5,Family Ties
85,3,3,1,1,1,1,5,2,1,3,1,4,5,5,5,Family Ties
86,5,5,2,4,2,4,5,3,3,4,2,5,2,2,5,Code Hoppers
87,2,3,1,1,1,3,1,5,2,3,3,2,1,1,1,The Rugby Squad
88,2,3,1,1,2,1,5,4,1,1,1,5,3,3,4,Family Ties
89,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Couch Warmers
90,3,3,3,2,3,2,3,3,3,3,3,2,2,2,3,The Rugby Squad
91,2,5,1,1,2,4,1,4,3,4,4,3,1,1,1,Rugby Disciples
92,2,1,1,1,3,1,4,5,4,4,1,1,3,2,4,The Rugby Squad
93,5,5,3,1,3,2,2,3,5,5,5,1,3,5,2,Couch Warmers
94,5,3,2,1,2,2,3,1,3,4,4,3,1,3,3,Couch Warmers
95,5,2,2,2,2,2,2,4,2,3,2,2,2,2,3,The Rugby Squad
96,5,5,2,2,3,2,2,4,5,5,2,4,2,2,5,Couch Warmers
97,3,3,2,2,3,2,2,3,3,3,2,3,3,3,4,The Rugby Squad
98,5,5,3,3,4,2,2,3,3,4,5,3,3,3,5,Couch Warmers
99,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Couch Warmers
100,5,5,2,3,2,1,4,2,1,1,2,2,2,2,5,Code Hoppers
101,4,3,4,3,4,1,3,3,3,3,3,3,3,2,3,Code Hoppers
102,3,2,2,2,2,2,3,4,2,1,1,2,2,1,2,The Rugby Squad
103,2,2,1,1,3,1,2,3,2,1,3,3,2,2,2,The Rugby Squad
104,3,4,1,4,3,2,3,2,3,4,3,4,2,2,5,Code Hoppers
105,4,2,2,2,2,2,2,5,2,2,4,3,2,2,4,Rugby Disciples
106,2,2,2,2,3,2,4,3,3,3,4,4,2,3,4,The Rugby Squad
107,3,4,3,3,1,2,4,4,4,4,3,2,4,3,4,Couch Warmers
108,3,5,2,2,2,1,2,4,5,4,5,5,3,3,5,Couch Warmers
109,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Couch Warmers
110,4,3,1,2,2,2,2,3,4,5,3,4,3,2,5,Couch Warmers
111,3,3,2,2,3,3,3,4,3,2,3,2,2,2,4,The Rugby Squad
112,5,4,4,3,5,2,4,5,4,4,3,3,1,2,5,Code Hoppers
113,3,4,3,2,2,3,4,3,4,4,3,4,3,3,2,Couch Warmers
114,3,2,1,1,1,1,1,5,3,2,1,2,2,2,2,The Rugby Squad
